length, basic, damerau
101   ,8.675098  ,12.800694 
152   ,19.644976 ,23.599148 
203   ,34.686804 ,41.800976 
254   ,55.044889 ,75.947046 
305   ,89.400053 ,102.786779
356   ,125.939131,133.405924
407   ,180.786848,181.527138
458   ,210.484028,244.806051
509   ,245.332956,307.014942
560   ,320.374012,355.636835
611   ,380.596876,435.016155
662   ,441.754103,514.679909
713   ,509.338856,598.682880
764   ,593.106031,711.342096
815   ,679.299831,796.074867
866   ,761.864185,903.275013
917   ,856.882811,1028.137207
968   ,969.527960,1135.610104
1019  ,1069.789886,1263.098955
